molecule_chembl_id,pAct,value_nM,n_meas,smiles,std_type
CHEMBL101253,5.004977163157685,9886.7,8,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,IC50
CHEMBL101683,6.619788758288394,240.0,1,O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1,IC50
CHEMBL102301,6.2011524070372435,1010.0,2,COc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccc5c(c4)OCO5)CC3)c2cc1OC,IC50
CHEMBL102346,7.301029995663981,50.0,1,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)c2cc1OC,IC50
CHEMBL104067,7.301029995663981,50.0,1,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(C(C)C)cc4)CC3)c2cc1OC,IC50
CHEMBL106966,6.318758762624412,480.0,1,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(C#N)cc4)CC3)c2cc1OC,IC50
CHEMBL107599,7.795880017344075,16.0,1,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1C,IC50
CHEMBL1079113,7.366531544420414,43.0,1,Cc1ccc(-c2ccnc(Nc3cc(NC(=O)c4ccc(CN5CCN(C)CC5)cc4)ccc3C)n2)cn1,IC50
CHEMBL1081022,6.698970004336019,200.0,1,Cc1ccccc1NC(=O)Nc1ccc(-c2c(C)sc3ncnc(N)c23)c(Cl)c1,IC50
CHEMBL1081831,6.958607314841775,110.0,1,N[C@H](CNc1ncc(-c2ccc3c(c2)CC(=O)N3)s1)Cc1ccc(C(F)(F)F)cc1,IC50
CHEMBL1085511,7.050609993355087,89.0,1,CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4ccc(N5CCN(C)CC5)cc4)cnn3c2N)cc1,IC50
CHEMBL1094408,5.720333055951545,1904.0,1,COc1ccc(N2CCN(C)CC2)cc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,IC50
CHEMBL1171364,5.33037368298365,8500.0,2,COc1ccc(/C=C2\Oc3cc(O)ccc3C2=O)cc1,IC50
CHEMBL1171837,7.9898193586761455,10.55,10,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,IC50
