molecule_chembl_id,smiles,skel,ABL1,c-KIT,PDGFRB,scaffold,split
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,MVCOAUNKQVWQHZ,0,1,-1,O=C(Nc1ccc(OCCN2CCOCC2)c2ccccc12)Nc1ccnn1-c1ccccc1,test
CHEMBL1077317,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(/C=C/N4CNc5c(NC6CC6)ncnc54)c3)cc(C(F)(F)F)c2)cn1,BNIPBKFCGMYCDD,1,-1,-1,O=C(Nc1cccc(-n2ccnc2)c1)c1cccc(C=CN2CNc3c(NC4CC4)ncnc32)c1,test
CHEMBL1081198,O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1cccc(C(F)(F)F)c1,NWEIPABWNQPRCZ,0,-1,-1,O=C(Nc1ccccc1)Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1,train
CHEMBL1081312,Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,NVRXTLZYXZNATH,1,-1,-1,c1ncc2c(-c3cnc4[nH]ccc4c3)nn(C3CCCC3)c2n1,val
CHEMBL1084268,CCn1cnc2c(Nc3ccc(P(=O)(O)CP(=O)(O)O)cc3)nc([C@H]3CC[C@H](N)CC3)nc21,FGMSUCIOAMNCKF,1,-1,-1,c1ccc(Nc2nc(C3CCCCC3)nc3[nH]cnc23)cc1,test
CHEMBL1085511,CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4ccc(N5CCN(C)CC5)cc4)cnn3c2N)cc1,DAZCBQNFGSWSQG,1,1,-1,c1ccc(-c2cnc3c(-c4ccc(N5CCNCC5)cc4)cnn3c2)cc1,train
CHEMBL1087650,CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccnc3c(-c4cccc(O)c4)c(-c4ccncc4)nn23)cc1,MZPDPRITYJNRSG,1,-1,-1,c1ccc(-c2c(-c3ccncc3)nn3c(-c4ccc(N5CC6CC5CN6)cc4)ccnc23)cc1,train
CHEMBL1088240,COc1cc(Nc2c(C#N)cnc3cc(/C=C/CCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,XTMQXGYZVJVLMD,1,-1,-1,C(=Cc1ccc2c(Nc3ccccc3)ccnc2c1)CCN1CCNCC1,train
CHEMBL1090672,COc1ccccc1/C=C/c1nc2ccccc2c(=O)[nH]1,MHPRNHAIPCKPIR,1,-1,-1,O=c1[nH]c(C=Cc2ccccc2)nc2ccccc12,test
CHEMBL1092754,Cn1cc(/C=C2\Oc3cccc(O)c3C2=O)c2c(-c3ccc(C(=O)NCCO)cc3)ccnc21,YDELNSXADYPQGS,1,-1,-1,O=C1C(=Cc2c[nH]c3nccc(-c4ccccc4)c23)Oc2ccccc21,test
CHEMBL1092926,Fc1cc(-c2cccc3ncc(-c4cnn(C5CCNCC5)c4)nc23)cc(F)c1CN1CCOCC1,IBPVXAOOVUAOKJ,1,-1,-1,c1cc(-c2ccc(CN3CCOCC3)cc2)c2nc(-c3cnn(C4CCNCC4)c3)cnc2c1,val
CHEMBL1097700,CNc1cc(O)c2c(c1)/C=C/C[C@H](O)[C@H](O)C(=O)/C=C\[C@@H](C)[C@H](C)OC2=O,ZDACFCFMMWTLTA,1,-1,-1,O=C1C=CCCOC(=O)c2ccccc2C=CCCC1,train
CHEMBL111339,Cc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,ZLNBJDSAGVBJSP,1,-1,-1,O=c1[nH]c2nc(Nc3ccccc3)ncc2cc1-c1ccccc1,train
CHEMBL1163016,CC1(C)CC(NC(=O)c2cccc(-c3cc4nccc(Nc5cccc(O)c5)n4n3)c2)CC(C)(C)N1[O],GNIYUURCQFKRCB,1,-1,-1,O=C(NC1CCNCC1)c1cccc(-c2cc3nccc(Nc4ccccc4)n3n2)c1,test
CHEMBL1165511,Fc1ccc(C(Cl)Cn2ncc3c(Nc4cccc(F)c4)ncnc32)cc1,AAMZEJILAVQVEW,1,-1,-1,c1ccc(CCn2ncc3c(Nc4ccccc4)ncnc32)cc1,train
CHEMBL1169705,Cc1ccc(C(=O)Nc2ccc(CN3CCCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,PTHOPDLXQDYKMY,1,-1,-1,O=C(Nc1ccc(CN2CCCNCC2)cc1)c1cccc(C#Cc2cnc3ccccn23)c1,test
CHEMBL1169875,Cc1ccc(C(=O)Nc2cc(C(F)(F)F)ccn2)cc1C#Cn1cnc2c(NC3CC3)ncnc21,ATLRGZJCKJLLGK,1,-1,-1,O=C(Nc1ccccn1)c1cccc(C#Cn2cnc3c(NC4CC4)ncnc32)c1,test
CHEMBL1169876,Cc1ccc(C(=O)Nc2cc(C(F)(F)F)on2)cc1/C=C/n1cnc2c(NC3CC3)ncnc21,BAPGJVSPRJCYMF,1,-1,-1,O=C(Nc1ccon1)c1cccc(C=Cn2cnc3c(NC4CC4)ncnc32)c1,test
CHEMBL1169881,Cc1ccc(C(=O)Nc2ccc(OC3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,CQKLZUWHJYAEJS,1,-1,-1,O=C(Nc1ccc(OC2CCNCC2)cc1)c1cccc(C#Cc2cnc3ccccn23)c1,test
CHEMBL1169882,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5ccccn45)c3)cc2C(F)(F)F)CC1,XIXZEORNMNADGH,1,-1,-1,O=C(Nc1ccc(CN2CCNCC2)cc1)c1cccc(C#Cc2cnc3ccccn23)c1,train
CHEMBL1170077,Cc1ccc(C(=O)Nc2ccc(CN3CCNCC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,OMFSRNKSJGOABX,1,-1,-1,O=C(Nc1ccc(CN2CCNCC2)cc1)c1cccc(C#Cc2cnc3ccccn23)c1,train
CHEMBL1170078,Cc1ccc(C(=O)Nc2ccc(CN3CCNC(C)C3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,SCVMLTPOIKZIRV,1,-1,-1,O=C(Nc1ccc(CN2CCNCC2)cc1)c1cccc(C#Cc2cnc3ccccn23)c1,train
CHEMBL1170747,NCc1ccc(-c2cn3c(-c4cn[nH]c4)cnc3cn2)cc1,HRKWURYEAYZSRP,1,-1,-1,c1ccc(-c2cn3c(-c4cn[nH]c4)cnc3cn2)cc1,train
CHEMBL1170749,OCc1ccc(-c2cn3c(-c4cn[nH]c4)cnc3cn2)cc1,ZGXOIUFSZFXEMV,1,-1,-1,c1ccc(-c2cn3c(-c4cn[nH]c4)cnc3cn2)cc1,train
CHEMBL1171038,Cc1ccc(C(=O)Nc2cc(-n3cnc(CN4CCCC4)c3)cc(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,MTFOFJIZLSONJH,1,-1,-1,O=C(Nc1cccc(-n2cnc(CN3CCCC3)c2)c1)c1cccc(C#Cc2cnc3ccccn23)c1,test
CHEMBL1171043,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C(C)C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,UVJWKUDYNQQVDM,1,-1,-1,O=C(Nc1ccc(CN2CCNCC2)cc1)c1cccc(C#Cc2cnc3ccccn23)c1,train
CHEMBL1171044,Cc1ccc(C(=O)Nc2ccc(CN3CCN(CCO)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,XCUBPDUKAWXPCB,1,-1,-1,O=C(Nc1ccc(CN2CCNCC2)cc1)c1cccc(C#Cc2cnc3ccccn23)c1,train
