activity_id,assay_chembl_id,assay_type,assay_description,document_chembl_id,molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,standard_relation
129828,CHEMBL819326,B,Inhibition of c-Abl kinase,CHEMBL1134796,CHEMBL281470,COc1ccc(-c2[nH]nc3c2C(=O)c2ccccc2-3)cc1,IC50,725000.0,nM,>
146141,CHEMBL806527,B,Radioligand displacement assay for the binding of [125I]Glu-Pro-Gln-pTyr-Glu-Glu-Ile-Pro-Ile-Tyr-Leu to ABL SH2 domain,CHEMBL1130490,CHEMBL13462,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N(C)CCCC1CCCCC1,IC50,4000.0,nM,=
146143,CHEMBL762575,B,Inhibition of [35S]-labeled SH2-GST Abl binding to the phospho-PDGF receptor intracellular domain,CHEMBL1130490,CHEMBL13462,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N(C)CCCC1CCCCC1,IC50,16000.0,nM,=
148569,CHEMBL806527,B,Radioligand displacement assay for the binding of [125I]Glu-Pro-Gln-pTyr-Glu-Glu-Ile-Pro-Ile-Tyr-Leu to ABL SH2 domain,CHEMBL1130490,CHEMBL414123,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCC(=O)O)[C@@H](C)CC)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)O,IC50,15000.0,nM,=
148571,CHEMBL762575,B,Inhibition of [35S]-labeled SH2-GST Abl binding to the phospho-PDGF receptor intracellular domain,CHEMBL1130490,CHEMBL414123,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCC(=O)O)[C@@H](C)CC)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)O,IC50,2900.0,nM,=
152122,CHEMBL806527,B,Radioligand displacement assay for the binding of [125I]Glu-Pro-Gln-pTyr-Glu-Glu-Ile-Pro-Ile-Tyr-Leu to ABL SH2 domain,CHEMBL1130490,CHEMBL413629,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCC(=O)O)[C@@H](C)CC)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)O,IC50,1800.0,nM,=
152124,CHEMBL762575,B,Inhibition of [35S]-labeled SH2-GST Abl binding to the phospho-PDGF receptor intracellular domain,CHEMBL1130490,CHEMBL413629,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCC(=O)O)[C@@H](C)CC)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)O,IC50,13500.0,nM,=
154553,CHEMBL806527,B,Radioligand displacement assay for the binding of [125I]Glu-Pro-Gln-pTyr-Glu-Glu-Ile-Pro-Ile-Tyr-Leu to ABL SH2 domain,CHEMBL1130490,CHEMBL301845,CC[C@H](NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(=O)N(C)CCCC1CCCCC1,IC50,15000.0,nM,=
154555,CHEMBL762575,B,Inhibition of [35S]-labeled SH2-GST Abl binding to the phospho-PDGF receptor intracellular domain,CHEMBL1130490,CHEMBL301845,CC[C@H](NC(=O)[C@H](Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O)C(=O)N(C)CCCC1CCCCC1,IC50,100000.0,nM,=
159483,CHEMBL806527,B,Radioligand displacement assay for the binding of [125I]Glu-Pro-Gln-pTyr-Glu-Glu-Ile-Pro-Ile-Tyr-Leu to ABL SH2 domain,CHEMBL1130490,CHEMBL58478,CC(=O)N[C@@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)N(C)CCCC1CCCCC1,IC50,1700.0,nM,=
