activity_id,assay_chembl_id,assay_type,assay_description,document_chembl_id,molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,standard_relation
32261,CHEMBL763442,B,Inhibitory activity towards tyrosine phosphorylation in cells expressing PDGF-receptor beta kinase,CHEMBL1134862,CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,IC50,100000.0,nM,>
32268,CHEMBL763442,B,Inhibitory activity towards tyrosine phosphorylation in cells expressing PDGF-receptor beta kinase,CHEMBL1134862,CHEMBL69960,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,20000.0,nM,>
33407,CHEMBL763442,B,Inhibitory activity towards tyrosine phosphorylation in cells expressing PDGF-receptor beta kinase,CHEMBL1134862,CHEMBL443268,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,20000.0,nM,>
34670,CHEMBL763442,B,Inhibitory activity towards tyrosine phosphorylation in cells expressing PDGF-receptor beta kinase,CHEMBL1134862,CHEMBL304271,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,IC50,20000.0,nM,=
46695,CHEMBL763442,B,Inhibitory activity towards tyrosine phosphorylation in cells expressing PDGF-receptor beta kinase,CHEMBL1134862,CHEMBL302552,O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,IC50,100000.0,nM,>
47934,CHEMBL763442,B,Inhibitory activity towards tyrosine phosphorylation in cells expressing PDGF-receptor beta kinase,CHEMBL1134862,CHEMBL67057,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,IC50,20000.0,nM,>
49321,CHEMBL763442,B,Inhibitory activity towards tyrosine phosphorylation in cells expressing PDGF-receptor beta kinase,CHEMBL1134862,CHEMBL432903,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C,IC50,20000.0,nM,>
49324,CHEMBL763442,B,Inhibitory activity towards tyrosine phosphorylation in cells expressing PDGF-receptor beta kinase,CHEMBL1134862,CHEMBL69964,Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,IC50,20000.0,nM,>
49327,CHEMBL763442,B,Inhibitory activity towards tyrosine phosphorylation in cells expressing PDGF-receptor beta kinase,CHEMBL1134862,CHEMBL65848,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,IC50,20000.0,nM,>
50669,CHEMBL763442,B,Inhibitory activity towards tyrosine phosphorylation in cells expressing PDGF-receptor beta kinase,CHEMBL1134862,CHEMBL69629,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,100000.0,nM,>
51819,CHEMBL763442,B,Inhibitory activity towards tyrosine phosphorylation in cells expressing PDGF-receptor beta kinase,CHEMBL1134862,CHEMBL68258,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(N3CCCCC3)c21,IC50,20000.0,nM,>
53213,CHEMBL763442,B,Inhibitory activity towards tyrosine phosphorylation in cells expressing PDGF-receptor beta kinase,CHEMBL1134862,CHEMBL66570,CCN1CCN(C(=O)c2cc(C)c(/C=C3\C(=O)Nc4ncnc(Nc5ccc(F)c(Cl)c5)c43)[nH]2)CC1,IC50,20000.0,nM,>
54403,CHEMBL763442,B,Inhibitory activity towards tyrosine phosphorylation in cells expressing PDGF-receptor beta kinase,CHEMBL1134862,CHEMBL305194,Cc1cc(C(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,20000.0,nM,>
58120,CHEMBL763442,B,Inhibitory activity towards tyrosine phosphorylation in cells expressing PDGF-receptor beta kinase,CHEMBL1134862,CHEMBL308645,Cc1cc(CCC(=O)O)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,20000.0,nM,>
58123,CHEMBL763442,B,Inhibitory activity towards tyrosine phosphorylation in cells expressing PDGF-receptor beta kinase,CHEMBL1134862,CHEMBL67003,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c21,IC50,10000.0,nM,>
62048,CHEMBL763442,B,Inhibitory activity towards tyrosine phosphorylation in cells expressing PDGF-receptor beta kinase,CHEMBL1134862,CHEMBL305246,Cc1cc(C(=O)N2CCN(C)CC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,20000.0,nM,>
62055,CHEMBL763442,B,Inhibitory activity towards tyrosine phosphorylation in cells expressing PDGF-receptor beta kinase,CHEMBL1134862,CHEMBL69966,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C(=O)NCCN4CCOCC4)cc2C)C(=O)N3)c1,IC50,20000.0,nM,>
63368,CHEMBL763442,B,Inhibitory activity towards tyrosine phosphorylation in cells expressing PDGF-receptor beta kinase,CHEMBL1134862,CHEMBL69358,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,IC50,20000.0,nM,=
66031,CHEMBL763442,B,Inhibitory activity towards tyrosine phosphorylation in cells expressing PDGF-receptor beta kinase,CHEMBL1134862,CHEMBL304971,Cc1c(C(=O)N2CCN(C)CC2)c[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,20000.0,nM,>
66034,CHEMBL763442,B,Inhibitory activity towards tyrosine phosphorylation in cells expressing PDGF-receptor beta kinase,CHEMBL1134862,CHEMBL69071,Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,IC50,20000.0,nM,>
67212,CHEMBL763442,B,Inhibitory activity towards tyrosine phosphorylation in cells expressing PDGF-receptor beta kinase,CHEMBL1134862,CHEMBL69709,Cc1cc(C)c(/C=C2\C(=O)N(C)c3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,IC50,20000.0,nM,>
68468,CHEMBL763442,B,Inhibitory activity towards tyrosine phosphorylation in cells expressing PDGF-receptor beta kinase,CHEMBL1134862,CHEMBL69106,O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc[nH]1,IC50,20000.0,nM,>
68471,CHEMBL763442,B,Inhibitory activity towards tyrosine phosphorylation in cells expressing PDGF-receptor beta kinase,CHEMBL1134862,CHEMBL264382,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,IC50,100000.0,nM,>
69855,CHEMBL763442,B,Inhibitory activity towards tyrosine phosphorylation in cells expressing PDGF-receptor beta kinase,CHEMBL1134862,CHEMBL305782,Cc1[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c(C)c1CCC(=O)O,IC50,20000.0,nM,>
69858,CHEMBL763442,B,Inhibitory activity towards tyrosine phosphorylation in cells expressing PDGF-receptor beta kinase,CHEMBL1134862,CHEMBL308672,CCN(CC)CCNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(Cl)cc4F)c32)[nH]1,IC50,5620.0,nM,=
78010,CHEMBL764822,B,Evaluated for inhibitory activity towards tyrosine kinase PDGF-Rbeta,CHEMBL1133768,CHEMBL432941,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)c1,IC50,680.0,nM,=
79179,CHEMBL764822,B,Evaluated for inhibitory activity towards tyrosine kinase PDGF-Rbeta,CHEMBL1133768,CHEMBL420609,COc1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2,IC50,19300.0,nM,=
80321,CHEMBL764822,B,Evaluated for inhibitory activity towards tyrosine kinase PDGF-Rbeta,CHEMBL1133768,CHEMBL419682,COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2cc3c([nH]2)CCCC3)c1,IC50,100000.0,nM,>
83550,CHEMBL764822,B,Evaluated for inhibitory activity towards tyrosine kinase PDGF-Rbeta,CHEMBL1133768,CHEMBL88462,COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,IC50,13900.0,nM,=
84547,CHEMBL764822,B,Evaluated for inhibitory activity towards tyrosine kinase PDGF-Rbeta,CHEMBL1133768,CHEMBL431996,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(C(=O)O)cc32)[nH]c2c1CCCC2,IC50,20.0,nM,=
85633,CHEMBL764822,B,Evaluated for inhibitory activity towards tyrosine kinase PDGF-Rbeta,CHEMBL1133768,CHEMBL91250,COc1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,IC50,3460.0,nM,=
85642,CHEMBL764822,B,Evaluated for inhibitory activity towards tyrosine kinase PDGF-Rbeta,CHEMBL1133768,CHEMBL88771,O=C(O)CCc1c(/C=C2\C(=O)Nc3cc(-c4ccccc4)ccc32)[nH]c2c1CCCC2,IC50,40.0,nM,=
87621,CHEMBL764822,B,Evaluated for inhibitory activity towards tyrosine kinase PDGF-Rbeta,CHEMBL1133768,CHEMBL91815,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2[nH]c3c(c2CCC(=O)O)CCCC3)cc1,IC50,5430.0,nM,=
88632,CHEMBL764822,B,Evaluated for inhibitory activity towards tyrosine kinase PDGF-Rbeta,CHEMBL1133768,CHEMBL328029,O=C1Nc2ccccc2/C1=C/c1cc2c([nH]1)CCCC2,IC50,5460.0,nM,=
88641,CHEMBL764822,B,Evaluated for inhibitory activity towards tyrosine kinase PDGF-Rbeta,CHEMBL1133768,CHEMBL314995,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(Br)cc32)[nH]c2c1CCCC2,IC50,4.0,nM,=
91571,CHEMBL764822,B,Evaluated for inhibitory activity towards tyrosine kinase PDGF-Rbeta,CHEMBL1133768,CHEMBL88483,NS(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2,IC50,11500.0,nM,=
91580,CHEMBL764822,B,Evaluated for inhibitory activity towards tyrosine kinase PDGF-Rbeta,CHEMBL1133768,CHEMBL313746,O=C1Nc2cc(-c3ccccc3)ccc2/C1=C/c1cc2c([nH]1)CCCC2,IC50,70600.0,nM,=
91589,CHEMBL764822,B,Evaluated for inhibitory activity towards tyrosine kinase PDGF-Rbeta,CHEMBL1133768,CHEMBL89363,Cc1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1CCC(=O)O,IC50,510.0,nM,=
92601,CHEMBL764822,B,Evaluated for inhibitory activity towards tyrosine kinase PDGF-Rbeta,CHEMBL1133768,CHEMBL276711,Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,IC50,10100.0,nM,=
96620,CHEMBL764822,B,Evaluated for inhibitory activity towards tyrosine kinase PDGF-Rbeta,CHEMBL1133768,CHEMBL313500,COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2cc3c([nH]2)CCCC3)cc1,IC50,94010.0,nM,=
98656,CHEMBL764822,B,Evaluated for inhibitory activity towards tyrosine kinase PDGF-Rbeta,CHEMBL1133768,CHEMBL89010,O=C1Nc2ccc(C(=O)O)cc2/C1=C/c1cc2c([nH]1)CCCC2,IC50,1030.0,nM,=
98665,CHEMBL764822,B,Evaluated for inhibitory activity towards tyrosine kinase PDGF-Rbeta,CHEMBL1133768,CHEMBL86531,NS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]c3c(c1CCC(=O)O)CCCC3)C(=O)N2,IC50,780.0,nM,<
99528,CHEMBL764822,B,Evaluated for inhibitory activity towards tyrosine kinase PDGF-Rbeta,CHEMBL1133768,CHEMBL315753,O=C(O)CCc1c(/C=C2\C(=O)Nc3ccccc32)[nH]c2c1CCCC2,IC50,240.0,nM,=
104505,CHEMBL764822,B,Evaluated for inhibitory activity towards tyrosine kinase PDGF-Rbeta,CHEMBL1133768,CHEMBL88606,O=C1Nc2ccc(Br)cc2/C1=C/c1cc2c([nH]1)CCCC2,IC50,920.0,nM,=
104514,CHEMBL764822,B,Evaluated for inhibitory activity towards tyrosine kinase PDGF-Rbeta,CHEMBL1133768,CHEMBL313821,COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2,IC50,870.0,nM,=
316955,CHEMBL766066,B,Inhibition of Platelet-derived growth factor receptor beta at ATP <Km,CHEMBL1135889,CHEMBL281872,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCn1ccnn1,IC50,3400.0,nM,=
328357,CHEMBL766067,B,Inhibition of Platelet-derived growth factor receptor beta at ATP <Km,CHEMBL1135889,CHEMBL533849,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1.Cl,IC50,1100.0,nM,=
430435,CHEMBL764168,B,Inhibition of Platelet-derived growth factor receptor beta (PDGF beta-R),CHEMBL1152084,CHEMBL327300,COc1ccc(Oc2ccnc3cc(OC)c(OC)cc23)cc1OC,IC50,30.0,nM,=
475053,CHEMBL766058,B,Inhibitory activity was tested against Platelet-derived growth factor receptor beta,CHEMBL1136528,CHEMBL300767,COc1ccc2c(c1)/C(=C/c1[nH]cc3c1CCOC3=O)C(=O)N2,IC50,20000.0,nM,>
477357,CHEMBL766058,B,Inhibitory activity was tested against Platelet-derived growth factor receptor beta,CHEMBL1136528,CHEMBL432491,NS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]cc3c1CCOC3=O)C(=O)N2,IC50,20000.0,nM,>
478716,CHEMBL766058,B,Inhibitory activity was tested against Platelet-derived growth factor receptor beta,CHEMBL1136528,CHEMBL60541,CNS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]cc3c1CCOC3=O)C(=O)N2,IC50,20000.0,nM,>
482440,CHEMBL766058,B,Inhibitory activity was tested against Platelet-derived growth factor receptor beta,CHEMBL1136528,CHEMBL418301,O=C1Nc2cc(-c3ccccc3)ccc2/C1=C/c1[nH]cc2c1CCOC2=O,IC50,1100.0,nM,=
483673,CHEMBL766058,B,Inhibitory activity was tested against Platelet-derived growth factor receptor beta,CHEMBL1136528,CHEMBL301639,O=C1Nc2ccc(Cl)cc2/C1=C/c1[nH]cc2c1CCOC2=O,IC50,2100.0,nM,=
487122,CHEMBL766058,B,Inhibitory activity was tested against Platelet-derived growth factor receptor beta,CHEMBL1136528,CHEMBL58224,O=C1Nc2cccc(C3CCNCC3)c2/C1=C/c1[nH]cc2c1CCOC2=O,IC50,1100.0,nM,=
493114,CHEMBL766058,B,Inhibitory activity was tested against Platelet-derived growth factor receptor beta,CHEMBL1136528,CHEMBL258805,COc1ccc2c(c1)/C(=C/c1cnc[nH]1)C(=O)N2,IC50,18000.0,nM,=
494218,CHEMBL766058,B,Inhibitory activity was tested against Platelet-derived growth factor receptor beta,CHEMBL1136528,CHEMBL57446,Cc1cccc2c1/C(=C/c1[nH]cc3c1CCOC3=O)C(=O)N2,IC50,20000.0,nM,>
494222,CHEMBL766058,B,Inhibitory activity was tested against Platelet-derived growth factor receptor beta,CHEMBL1136528,CHEMBL59073,COc1ccc2c(c1)NC(=O)/C2=C\c1[nH]cc2c1CCOC2=O,IC50,1400.0,nM,=
496462,CHEMBL766058,B,Inhibitory activity was tested against Platelet-derived growth factor receptor beta,CHEMBL1136528,CHEMBL293068,O=C1Nc2ccc(C(=O)O)cc2/C1=C/c1[nH]cc2c1CCOC2=O,IC50,20000.0,nM,>
496466,CHEMBL766058,B,Inhibitory activity was tested against Platelet-derived growth factor receptor beta,CHEMBL1136528,CHEMBL292864,O=C1Nc2ccc(Br)cc2/C1=C/c1[nH]cc2c1CCOC2=O,IC50,18000.0,nM,=
501315,CHEMBL766058,B,Inhibitory activity was tested against Platelet-derived growth factor receptor beta,CHEMBL1136528,CHEMBL299032,CC(C)NS(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]cc3c1CCOC3=O)C(=O)N2,IC50,20000.0,nM,>
506107,CHEMBL766058,B,Inhibitory activity was tested against Platelet-derived growth factor receptor beta,CHEMBL1136528,CHEMBL57256,CN(C)S(=O)(=O)c1ccc2c(c1)/C(=C/c1[nH]cc3c1CCOC3=O)C(=O)N2,IC50,20000.0,nM,>
507372,CHEMBL766058,B,Inhibitory activity was tested against Platelet-derived growth factor receptor beta,CHEMBL1136528,CHEMBL58483,O=C1Nc2cccc(CCO)c2/C1=C/c1[nH]cc2c1CCOC2=O,IC50,20000.0,nM,>
511000,CHEMBL766058,B,Inhibitory activity was tested against Platelet-derived growth factor receptor beta,CHEMBL1136528,CHEMBL59110,O=C1Nc2ccc(F)cc2/C1=C/c1[nH]cc2c1CCOC2=O,IC50,20000.0,nM,>
512673,CHEMBL763441,B,Inhibitory activity against Platelet-derived growth factor receptor beta,CHEMBL1132535,CHEMBL435227,Cc1c(CCC(=O)O)c[nH]c1/C=C1\C(=O)Nc2ccc(C(=O)O)cc21,IC50,4190.0,nM,=
512677,CHEMBL871982,F,Inhibitory activity of compound against PDGF induced cell proliferation,CHEMBL1132535,CHEMBL435227,Cc1c(CCC(=O)O)c[nH]c1/C=C1\C(=O)Nc2ccc(C(=O)O)cc21,IC50,50000.0,nM,>
512708,CHEMBL763441,B,Inhibitory activity against Platelet-derived growth factor receptor beta,CHEMBL1132535,CHEMBL147761,Cc1c[nH]c(/C=C2\C(=O)Nc3cccc(C)c32)c1CCC(=O)O,IC50,2110.0,nM,=
