activity_id,assay_chembl_id,assay_type,assay_description,document_chembl_id,molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,standard_relation
653060,CHEMBL820421,B,Inhibition of c-Kit autophosphorylation in intact cells,CHEMBL1146677,CHEMBL352308,COc1cc2c(Oc3ccc(Nc4ccc(C(C)(C)C)cc4)cc3)ccnc2cc1OCCNCCO,IC50,100.0,nM,=
750646,CHEMBL702237,B,Inhibition of KIT kinase activity,CHEMBL1148336,CHEMBL115220,O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)n[nH]1,IC50,10000.0,nM,>
866062,CHEMBL766073,B,Inhibition of chimeric PDGF receptor with c-kit cytoplasmic domain phosphorylation in CHO cells,CHEMBL1135998,CHEMBL330863,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCC(C)CC1,IC50,21.0,nM,=
872531,CHEMBL766073,B,Inhibition of chimeric PDGF receptor with c-kit cytoplasmic domain phosphorylation in CHO cells,CHEMBL1135998,CHEMBL124660,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,IC50,170.0,nM,=
872563,CHEMBL766073,B,Inhibition of chimeric PDGF receptor with c-kit cytoplasmic domain phosphorylation in CHO cells,CHEMBL1135998,CHEMBL126699,COc1cc2c(N3CCN(C(=O)Nc4ccc(C#N)cc4)CC3)ncnc2cc1OCCCN1CCCCC1C,IC50,6.0,nM,=
879717,CHEMBL766073,B,Inhibition of chimeric PDGF receptor with c-kit cytoplasmic domain phosphorylation in CHO cells,CHEMBL1135998,CHEMBL445636,COc1cc2c(N3CCN(C(=O)Nc4ccc(C#N)cc4)CC3)ncnc2cc1OCCCN1CCC(C)CC1,IC50,4.0,nM,=
884644,CHEMBL766073,B,Inhibition of chimeric PDGF receptor with c-kit cytoplasmic domain phosphorylation in CHO cells,CHEMBL1135998,CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,IC50,260.0,nM,=
886057,CHEMBL766073,B,Inhibition of chimeric PDGF receptor with c-kit cytoplasmic domain phosphorylation in CHO cells,CHEMBL1135998,CHEMBL124035,COCCOc1cc2ncnc(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)c2cc1OC,IC50,190.0,nM,=
895433,CHEMBL766073,B,Inhibition of chimeric PDGF receptor with c-kit cytoplasmic domain phosphorylation in CHO cells,CHEMBL1135998,CHEMBL125898,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCOCC1,IC50,60.0,nM,=
896681,CHEMBL766073,B,Inhibition of chimeric PDGF receptor with c-kit cytoplasmic domain phosphorylation in CHO cells,CHEMBL1135998,CHEMBL107599,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1C,IC50,16.0,nM,=
