molecule_chembl_id,smiles,skel,ABL1,c-KIT,PDGFRB,scaffold,split
CHEMBL1081198,O=C(Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1)Nc1cccc(C(F)(F)F)c1,NWEIPABWNQPRCZ,0,-1,-1,O=C(Nc1ccccc1)Nc1cccc(-c2cn3ccnc3c(NCc3ccncc3)n2)c1,train
CHEMBL1085511,CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4ccc(N5CCN(C)CC5)cc4)cnn3c2N)cc1,DAZCBQNFGSWSQG,1,1,-1,c1ccc(-c2cnc3c(-c4ccc(N5CCNCC5)cc4)cnn3c2)cc1,train
CHEMBL1087650,CN1C[C@@H]2C[C@H]1CN2c1ccc(-c2ccnc3c(-c4cccc(O)c4)c(-c4ccncc4)nn23)cc1,MZPDPRITYJNRSG,1,-1,-1,c1ccc(-c2c(-c3ccncc3)nn3c(-c4ccc(N5CC6CC5CN6)cc4)ccnc23)cc1,train
CHEMBL1088240,COc1cc(Nc2c(C#N)cnc3cc(/C=C/CCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,XTMQXGYZVJVLMD,1,-1,-1,C(=Cc1ccc2c(Nc3ccccc3)ccnc2c1)CCN1CCNCC1,train
CHEMBL1097700,CNc1cc(O)c2c(c1)/C=C/C[C@H](O)[C@H](O)C(=O)/C=C\[C@@H](C)[C@H](C)OC2=O,ZDACFCFMMWTLTA,1,-1,-1,O=C1C=CCCOC(=O)c2ccccc2C=CCCC1,train
CHEMBL111339,Cc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,ZLNBJDSAGVBJSP,1,-1,-1,O=c1[nH]c2nc(Nc3ccccc3)ncc2cc1-c1ccccc1,train
CHEMBL1165511,Fc1ccc(C(Cl)Cn2ncc3c(Nc4cccc(F)c4)ncnc32)cc1,AAMZEJILAVQVEW,1,-1,-1,c1ccc(CCn2ncc3c(Nc4ccccc4)ncnc32)cc1,train
CHEMBL1169882,CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(C#Cc4cnc5ccccn45)c3)cc2C(F)(F)F)CC1,XIXZEORNMNADGH,1,-1,-1,O=C(Nc1ccc(CN2CCNCC2)cc1)c1cccc(C#Cc2cnc3ccccn23)c1,train
CHEMBL1170077,Cc1ccc(C(=O)Nc2ccc(CN3CCNCC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,OMFSRNKSJGOABX,1,-1,-1,O=C(Nc1ccc(CN2CCNCC2)cc1)c1cccc(C#Cc2cnc3ccccn23)c1,train
CHEMBL1170078,Cc1ccc(C(=O)Nc2ccc(CN3CCNC(C)C3)c(C(F)(F)F)c2)cc1C#Cc1cnc2ccccn12,SCVMLTPOIKZIRV,1,-1,-1,O=C(Nc1ccc(CN2CCNCC2)cc1)c1cccc(C#Cc2cnc3ccccn23)c1,train
CHEMBL1170747,NCc1ccc(-c2cn3c(-c4cn[nH]c4)cnc3cn2)cc1,HRKWURYEAYZSRP,1,-1,-1,c1ccc(-c2cn3c(-c4cn[nH]c4)cnc3cn2)cc1,train
