rank,molecule_chembl_id,pref_name,smiles,PS,P_ABL1,P_c-KIT,P_PDGFRB,rank_ABL1,rank_c-KIT,rank_PDGFRB,max_train_sim,heavy_atoms,in_ad,ad_rank,ad_rank_pct
1,CHEMBL2105708,PONATINIB HYDROCHLORIDE,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12.Cl,0.9966600838885382,0.99968135,0.9987431,0.99157554,4,1,192,0.93333334,40,True,1,0.18
2,CHEMBL1171837,PONATINIB,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,0.9964892835611594,0.99964595,0.99866796,0.99117553,5,2,202,0.9459459,39,True,2,0.36
3,CHEMBL2105737,SONIDEGIB,Cc1c(C(=O)Nc2ccc(N3C[C@@H](C)O[C@@H](C)C3)nc2)cccc1-c1ccc(OC(F)(F)F)cc1,0.99486223140373,0.9997427,0.9935009,0.99136215,3,13,197,0.4722222,35,True,3,0.54
4,CHEMBL3137317,SONIDEGIB PHOSPHATE,Cc1c(C(=O)Nc2ccc(N3C[C@@H](C)O[C@@H](C)C3)nc2)cccc1-c1ccc(OC(F)(F)F)cc1.O=P(O)(O)O.O=P(O)(O)O,0.990385646603474,0.9994636,0.9923543,0.97944325,8,15,330,0.45333335,45,True,4,0.72
5,CHEMBL4297220,ASCIMINIB HYDROCHLORIDE,Cl.O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2cc[nH]n2)c1,0.9861114349424268,0.9999877,0.99316484,0.9655216,1,14,445,0.75,32,True,5,0.9
6,CHEMBL4208229,ASCIMINIB,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2cc[nH]n2)c1,0.9846627627308554,0.9999857,0.9922092,0.96220034,2,16,464,0.7605634,31,True,6,1.08
9,CHEMBL3545110,RIBOCICLIB,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1,0.9672773956116,0.943339,0.98873013,0.9703034,50,25,410,0.42682928,32,True,7,1.26
10,CHEMBL3786343,OLMUTINIB,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc3ccsc23)c1,0.9580491800697216,0.9778129,0.96966314,0.927442,35,57,595,0.36263737,35,True,8,1.44
12,CHEMBL3707266,RIBOCICLIB SUCCINATE,CN(C)C(=O)c1cc2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n1C1CCCC1.O=C(O)CCC(=O)O,0.9511770652098605,0.88764,0.9811178,0.98815733,71,36,238,0.39772728,40,True,9,1.62
13,CHEMBL1201733,PAZOPANIB HYDROCHLORIDE,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O.Cl,0.9439513636576272,0.98587763,0.9268876,0.920447,28,104,616,0.6825397,32,True,10,1.8
14,CHEMBL477772,PAZOPANIB,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,0.9424599360739334,0.985523,0.9253377,0.91795564,29,107,624,0.6935484,31,True,11,1.98
16,CHEMBL1292,CLOFAZIMINE,CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,0.9312998936543332,0.98115784,0.8357838,0.9849991,31,196,276,0.3275862,33,True,12,2.16
17,CHEMBL502835,NINTEDANIB,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,0.9243942972385994,0.8280734,0.95404863,0.99984443,105,84,15,0.7941176,40,True,13,2.34
18,CHEMBL4435170,DEUCRAVACITINIB,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,0.922864555758983,0.92058,0.9676443,0.8823413,59,64,728,0.3253012,31,True,14,2.52
19,CHEMBL1946170,REGORAFENIB,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,0.9115723832486464,0.78328896,0.9880756,0.9787264,127,27,335,0.57894737,33,True,15,2.7
20,CHEMBL1336,SORAFENIB,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,0.9107121608731052,0.79992735,0.97849476,0.96501565,114,40,448,0.6764706,32,True,16,2.88
21,CHEMBL46740,BAZEDOXIFENE,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12,0.901392917147204,0.7906338,0.9266579,0.99964917,122,105,32,0.3902439,35,True,17,3.06
