skel,smi,chembl,pAct_exact,pAct_any,pred
RHFBMILGABCZCY,CNC(=O)c1cc(C(=O)Nc2ccc(OC(F)(F)Cl)cc2)cc2nc3n(c12)[C@H](C)COC3,,9.431798275933005,9.431798275933005,0.73379976
JKZZCHSVFXZBAI,Nc1n[nH]c2cccc(C#Cc3cccc(NC(=O)c4ccc(N5CCOCC5)c(C(F)(F)F)c4)c3)c12,,7.490608155562652,7.490608155562652,0.8412402
LKPYVIHIXNNVJX,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cncc(-c3cccnc3)c2)n1,,6.634512015109101,6.634512015109101,0.9690067
ZJWPYYIRORJZPQ,CC(=O)Nc1ccc(-c2ccc(NCC(=O)Nc3ccc(CN4CCNCC4)c(C(F)(F)F)c3)cc2)cn1,CHEMBL3804921,6.337653043069112,6.337653043069112,0.95884454
KYRATOJAAZCVAH,O=C(c1cccc(-c2cc(Nc3ccc(OC(F)(F)F)cc3)ncn2)c1)N1CCOCC1,CHEMBL1257539,,,0.38647693
QQDDFQKWZHOVDY,OCCn1ncc2c(Nc3ccc(OC(F)(F)F)cc3)ncnc21,CHEMBL1258010,,,0.9973169
MJUOSFZKBYWVCP,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cncc(-c3nc(C(N)=O)co3)c2)n1,,6.600326278518962,6.600326278518962,0.93015814
FDKRVDGCRVDZMG,CS(=O)(=O)N1CCN(c2nc(Cl)ncc2Br)CC1,CHEMBL3926043,6.5934598195660445,6.5934598195660445,0.0006774292
ITBOQKWIUSIIGU,Nc1n[nH]c2cccc(C#Cc3cccc(C(=O)Nc4ccc(Cl)c(C(F)(F)F)c4)c3)c12,,6.2205857375914935,6.2205857375914935,0.99288166
YWLKWPWPNARODM,CCCn1ncc2c(Nc3ccc(OC(F)(F)F)cc3)ncnc21,CHEMBL1258130,,,0.9990062
XDUWBIQBEKNHAB,C[C@@H]1COCc2nc3cc(C(=O)Nc4ccc(OC(F)(F)Cl)cc4)cc(N4CCCC4)c3n21,,6.55129368009492,6.55129368009492,0.905277
MRCMFAWPPPUHNS,CN(C)c1ccc(C(=O)NCCNC(=O)c2ccc(-c3ccc4c(N)n[nH]c4c3)cc2)cc1,,5.999891453513884,5.999891453513884,0.94621354
ZJOODAFPLSLHSN,CCN(CC)C(=O)c1cncc(-c2cccc(C(=O)N[C@@H](C)C(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c2)c1,,5.301526527217448,5.301526527217448,0.9956884
BHEMWXASQSITGI,FC(F)(F)Oc1ccc(Nc2cc(-c3ccc4[nH]ccc4c3)ncn2)cc1,CHEMBL1258007,,,0.87519187
VOMAEUOOABASDO,Cc1c(F)cc2[nH]ncc2c1-c1ccc2nc(N)c(C(=O)[C@@H]3C[C@@H]3F)n2c1,,6.522878745280337,6.522878745280337,0.8887533
SAXPEWWZWJCVAP,CCn1ncc2c(Nc3ccc(OC(F)(F)F)cc3)ncnc21,CHEMBL1258011,,,0.99976176
MTBMJKLNIULINY,CC1(C)Cc2nc3sc4c(=O)nc[nH]c4c3cc2CS1,,,6.51949002705804,0.0011106351
BSVDGQDTPDLQCS,Nc1n[nH]c2cccc(C#Cc3cccc(NC(=O)c4cccc(C(F)(F)F)c4)c3)c12,,4.548957741009798,4.548957741009798,0.87088734
KQRLIWILHIFHRX,CC(=O)Nc1nc(-c2ccc(Cl)c(Cl)c2)cs1,,6.05014664115822,6.05014664115822,0.0168473
XQLXHIGCGPBKTR,O=C(Nc1ccc(Oc2ncnc3nc[nH]c23)c(F)c1)c1cccn(-c2cccc(F)c2)c1=O,CHEMBL2348263,5.988168040901103,5.988168040901103,0.35159624
