skel,smi,chembl,pAct_exact,pAct_any,pred
RGBKABGVUUCMBQ,Cc1ncc(NC(=O)CN2CC(C)(C)C2)cc1NC(=O)c1cnn2cc(-c3ccoc3)sc12,,9.328788659588897,9.328788659588897,0.989916
UEWCYTKIZNGSEP,Cc1ncc(NC(=O)CNC2CCC2)cc1NC(=O)c1cnn2cc(-c3cnn4c3CCC4)sc12,,9.5,9.5,0.9994211
GLCKKHCMYRKBQX,Cc1ncc(NC(=O)CN2CC(C)(C)C2)cc1NC(=O)c1cnn2cc(-c3c[nH]c4ccccc34)sc12,,9.548455006504028,9.548455006504028,0.9963785
FUNHWGQJWNNAKW,Cc1ncc(NC(=O)CN2CC(C)(C)C2)cc1NC(=O)c1cnn2cc(-c3ccsc3)sc12,,9.460409376976187,9.460409376976187,0.9954899
OBJABMIKFUBKEP,Cc1ncc(C(=O)NCCN2CCC3(CCC3)C2)cc1NC(=O)c1cnn2cc(-c3cnn(C)c3)sc12,,8.853871964321762,9.426935982160881,0.9985207
LFJQYBXGSVUKEN,COc1ncccc1-c1cn2ncc(C(=O)Nc3cc(NC(=O)CN4CCC5(CC5)C4)cnc3C)c2s1,,9.577450979992872,9.577450979992872,0.99692625
ABJXMAOIVKNAJF,CCOc1ncccc1-c1cn2ncc(C(=O)Nc3cc(NC(=O)CN4CC(C)(C)C4)cnc3C)c2s1,,9.522878745280337,9.522878745280337,0.98899883
VIMCMIZLXXFJPC,Cc1ncc(NC(=O)CN2CC(C)(C)C2)cc1NC(=O)c1cnn2cc(-c3cccc4c3cnn4C)sc12,,9.5,9.5,0.9962888
XPNRMPCWWVTXNY,Cc1ncc(NC(=O)CN2CC(C)(C)C2)cc1NC(=O)c1cnn2cc(-c3cc[nH]c3)sc12,,9.443028323846582,9.443028323846582,0.98655164
HPRLWOCORQWHFM,Cc1ncc(NC(=O)CCN2CCCC2(C)C)cc1NC(=O)c1cnn2cc(-c3cccc4c3cnn4C)sc12,,9.577450979992872,9.577450979992872,0.9800876
WQALFYABUKYCQH,C[C@H]1CCCN1CCNC(=O)c1ccc(F)c(Nc2nn(C)c3nc(Nc4cnn(C)c4)ncc23)c1,,9.369964306007462,9.369964306007462,0.8380567
YLJZOBNEUWEAJW,Cn1cc(Nc2ncc3c(Nc4cc(C(=O)NCCN5CCC6(CC6)C5)ccc4F)nn(C)c3n2)cn1,,9.372363747448347,9.372363747448347,0.98905075
BQYMDIYQFKJRAY,Cc1ncc(C(=O)CCCN2CCCC[C@H]2C)cc1Nc1nn(C)c2nc(Nc3cnn(C)c3)ncc12,,9.257139286759209,9.257139286759209,0.9025644
BQQFXOAVNVCWPO,CC[C@H]1COCCN1CC(=O)Nc1cnc(C)c(NC(=O)c2cnn3cc(-c4cnn(C)c4)sc23)c1,,8.919315998882514,8.919315998882514,0.9910108
DQFNSJRUKZRIRI,Cc1ncc(C(=O)NCCN2CCC3(CC3)C2)cc1NC(=O)c1cnn2cc(-c3ccccn3)sc12,,9.027758663924915,9.027758663924915,0.9864644
GZFWYRWGUBETFM,Cc1ncc(NC(=O)CN2CCC[C@@H]2C)cc1NC(=O)c1cnn2cc(-c3cnn4c3CCC4)sc12,,9.247425010840047,9.247425010840047,0.99979395
NEAGNZKIOLSNRA,Cc1ncc(NC(=O)CN2CCCCCC2)cc1NC(=O)c1cnn2cc(-c3cnn4c3OCCC4)sc12,,9.18837535480105,9.18837535480105,0.9997615
WJGMPTMQVNQSEL,Cc1ncc(C(=O)NCCN2CCCC23CCC3)cc1NC(=O)c1cnn2cc(-c3cnn4c3CCC4)sc12,,9.397940008672037,9.397940008672037,0.9986791
OMFQLGPPPLXKCT,COc1ncccc1-c1cn2ncc(C(=O)Nc3cc(NC(=O)CN4CC(C)(C)C4)cnc3C)c2s1,,9.27642098432889,9.27642098432889,0.9890127
POLLGVJDVRTBGE,COc1ncccc1-c1cn2ncc(C(=O)Nc3cc(C(=O)NCCN4CCC[C@H]4C)cnc3C)c2s1,,9.27642098432889,9.27642098432889,0.9666413
HDIBWUZZUZKOGL,Cc1ncc(NC(=O)CN2CC(C)(C)C2)cc1NC(=O)c1cnn2cc(-c3ccnc(N4CCOCC4)c3)sc12,,9.1419983281826,9.1419983281826,0.9963335
ULZASKRNYIPNCH,COc1ncccc1-c1cn2ncc(C(=O)Nc3cc(NC(=O)OCC(C)N4CCCC4)cnc3C)c2s1,,9.210108201691595,9.210108201691595,0.96862644
LRLKXWJSVMDUPC,COc1ncccc1-c1cn2ncc(C(=O)Nc3cc(NC(=O)OCCN4CCCC4(C)C)cnc3C)c2s1,,9.1419983281826,9.1419983281826,0.9582502
RJEIJQWGUZKFFJ,Cc1ncc(NC(=O)CN2CCCC2(C)C)cc1Nc1nn(C)c2nc(Nc3cnn(C)c3)ncc12,,9.221848749616356,9.221848749616356,0.94107383
