skel,smi,chembl,pAct_exact,pAct_any,pred
MEKWNZCOSWXFOA,COC[C@@H](O)Cn1cc(-c2ccn3ncc(C(=O)Nc4cc(-c5nnn(C6CC6)n5)ccc4C)c3c2)c(C2CC2)n1,,10.0,10.0,0.3220283
SBVUGDWDGRMYEN,Cc1nn(C[C@H](O)CO)c(C)c1-c1ccn2ncc(C(=O)Nc3cc(-c4nnn(C5CC5)n4)ccc3Cl)c2c1,,10.0,10.0,0.50685245
ANRKPCZFSOFXLX,COC[C@@H](O)Cn1cc(-c2ccn3ncc(C(=O)Nc4cc(-c5nnn(C6CC6)n5)ccc4Cl)c3c2)c(C)n1,,9.698970004336019,9.698970004336019,0.38043725
WJGOEEZWMQHHJR,Cc1cc(F)c(-c2nnn(C3CC3)n2)cc1NC(=O)c1cnn2ccc(-c3cn(CC(C)(C)O)nc3C3CC3)cc12,,9.698970004336019,9.698970004336019,0.47938454
IKIRULHTTZDTJF,CCn1nnc(-c2cc(NC(=O)c3cnn4ccc(-c5cn(C[C@H](O)COC)nc5C)cc34)c(Cl)cc2F)n1,,9.698970004336019,9.698970004336019,0.22705014
RRLHQRLKVLWBPK,Cc1nn(CCO)cc1-c1ccn2ncc(C(=O)Nc3cc(-c4nnn(C5CC5)n4)ccc3Cl)c2c1,,9.698970004336019,9.698970004336019,0.7656412
ICHNONSQDVXSDN,Cc1nn(C[C@H](C)O)cc1-c1ccn2ncc(C(=O)Nc3cc(-c4nnn(C5CC5)n4)c(F)cc3Cl)c2c1,,9.698970004336019,9.698970004336019,0.45472753
IKNZABOYOGXEHS,C[C@@H](CO)n1cc(-c2cc3c(N4CCN(c5ncc([C@@](C)(N)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1,,,8.761439372640169,0.9082337
PRMSOOZEXLRLKJ,C[C@](N)(c1ccc(F)cc1)c1cnc(N2CCN(c3ncnn4cc(-c5cnn(C6COC6)c5)cc34)CC2)nc1,,7.903089986991944,8.71298436613614,0.11423104
ZNRLUMAQXXGHLH,C[C@](N)(c1ccc(F)cc1)c1cnc(N2CCN(c3ncnn4cc(-c5cnn(CC6COC6)c5)cc34)CC2)nc1,,,8.346787486224656,0.79817206
OPOILSUUPUWPEK,C[C@H](O)Cn1cc(-c2cc3c(N4CCN(c5ncc([C@@](C)(N)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1,,,8.761439372640169,0.84599185
OXIZCDPKSYEEGL,Cc1cc(F)c(-c2nnn(C3CC3)n2)cc1NC(=O)c1cnn2ccc(-c3cn(C[C@@H](C)O)nc3C)cc12,,9.41195437047216,9.41195437047216,0.6394867
IPMARPMXSFFZFG,C[C@](N)(c1ccc(F)cc1)c1cnc(N2CCN(c3ncnn4cc(-c5cnn(CCO)c5)cc34)CC2)nc1,,7.425968732272281,8.47442373877631,0.8976663
JUPUXYZMVBFXPK,CCn1cc(-c2cc3c(N4CCN(c5ncc([C@@](C)(N)c6ccc(F)cc6)cn5)CC4)ncnn3c2)cn1,,7.591465341792993,9.0,0.92803854
LAQVMDGIMOANGR,C[C@@H](CO)n1cc(-c2cc3c(N)ncnn3c2)cn1,,,8.761439372640169,0.040891435
ASTMKBTYHRFVMB,C[C@](N)(c1ccc(F)cc1)c1cnc(N2CCN(c3ncnn4cc(-c5cnn([C@@H]6CCOC6)c5)cc34)CC2)nc1,,,8.761439372640169,0.21074842
JRKMFVLQIZPYSK,Nc1ncnn2cc(-c3cnn(CCO)c3)cc12,,7.756961951313706,8.639920348297021,0.031162627
RZRKZPNDSMQAAC,C[C@](N)(c1ccc(F)cc1)c1cnc(N2CCN(c3ncnn4cc(-c5cnn(C6CCOCC6)c5)cc34)CC2)nc1,,,8.761439372640169,0.25807318
RKFQZCREKAQHDS,C[C@@H](O)Cn1cc(-c2cc3c(N)ncnn3c2)cn1,,,8.761439372640169,0.019392245
BLLAWEQQWJMFSV,Cc1cc(F)c(-c2nnn(C3CC3)n2)cc1NC(=O)c1cnn2ccc(-c3cn(CC(C)(C)O)nc3C)cc12,,9.522878745280337,9.522878745280337,0.55581695
BNLMIPNMVOZMCF,CC(C)(O)Cn1cc(-c2cc3c(N)ncnn3c2)cn1,,,8.761439372640169,0.04831099
HTSXPGZYHWSIKE,C[C@](N)(c1ccc(F)cc1)c1cnc(N2CCN(c3ncnn4cc(-c5cnn(C6CC(O)C6)c5)cc34)CC2)nc1,,9.187086643357144,8.593543321678572,0.824357
FYXLQAOYYVZSSW,C[C@](N)(c1ccc(F)cc1)c1cnc(N2CCN(c3ncnn4cc(-c5cnn(CC6(O)CC6)c5)cc34)CC2)nc1,,,8.761439372640169,0.9598017
GKGYPYUUAKEOMQ,C[C@](N)(c1ccc(F)cc1)c1cnc(N2CCN(c3ncnn4cc(-c5cnn([C@@H]6CC[C@H]6O)c5)cc34)CC2)nc1,,9.187086643357144,8.593543321678572,0.72320676
INYIPDJFDYYZIC,Cc1nn(C(CO)CO)c(C)c1-c1ccn2ncc(C(=O)Nc3cc(-c4nnn(C5CC5)n4)ccc3Cl)c2c1,,9.522878745280337,9.522878745280337,0.7270961
NEEKXCBKYSNINO,Cc1nn(C[C@H](C)O)cc1-c1ccn2ncc(C(=O)Nc3cc(-c4nnn(C5CC5)n4)ccc3Cl)c2c1,,9.522878745280337,9.522878745280337,0.63179487
HMYJSCYJCHQIGS,COCCNc1ccn2ncc(C(=O)Nc3cc(-c4nnn(C[C@H]5CC5(F)F)n4)ccc3C)c2c1,,8.606624288927218,8.606624288927218,0.91034794
QDQWABJADWJFOB,Cc1ccc(-c2nnn(C3CC3)n2)cc1NC(=O)c1cnn2ccc(-c3cnn(CCCN4CCOCC4)c3)cc12,,8.744727494896694,8.744727494896694,0.8591123
AWUYNFBMJGQUJS,Cc1ccc(-c2nnn(C3CC(F)(F)C3)n2)cc1NC(=O)c1cnn2ccc(N3CC(O)C3)cc12,,8.744727494896694,8.744727494896694,0.9196758
RDYIUASLMABUDM,Cc1ccc(-c2nnn(CC[C@@](C)(O)C(F)(F)F)n2)cc1NC(=O)c1cnn2ccccc12,,8.744727494896694,8.744727494896694,0.88164157
FMMBRLDVHFXNQD,Cc1cc(Cl)c(NC(=O)c2cnn3ccc(-c4cnn(CC(C)(C)O)c4)cc23)cc1-c1nnn(C2CC2)n1,,8.721246399047171,8.721246399047171,0.50780743
LCTLKUSJZUKMTN,O=C(Nc1cc(-c2nnn(CCOCC(F)(F)F)n2)ccc1Cl)c1cnn2ccccc12,,8.721246399047171,8.721246399047171,0.8229977
RDCSFKPLLCCMQM,O=C(NC1CC1)c1ccc(Nc2ncc(C(F)(F)F)c(NCC3CCNCC3)n2)cn1,,,8.698970004336019,0.9472801
NLWZWKTYUUNGJA,Cc1ccc(-c2nnn([C@H]3C[C@H](C(F)(F)F)C3)n2)cc1NC(=O)c1cnn2ccccc12,,8.631403678647631,8.631403678647631,0.85367966
WXYMPBAANFTNQL,c1ccn2c(-c3cc(NCc4ccc(-n5cccn5)cc4)ncn3)cnc2c1,,8.657577319177793,8.657577319177793,0.029142141
PWVLANQLSSFMPA,COCCN1CCC(COc2ccn3c(-c4cc(NCc5ccc(-c6cnn(C)n6)cc5)ncn4)cnc3c2)CC1,,8.657577319177793,8.657577319177793,0.69707376
DFPVGZYGUOPRDB,Cc1ccc(-n2nnc([C@@H]3CC3(F)F)n2)cc1NC(=O)c1cnn2ccc(-c3cnn(CCO)c3)cc12,,8.621301985603488,8.621301985603488,0.98091954
SDHNMHVJSDOZFX,O=C(Nc1cc(-c2nnn(CC3CC3(F)F)n2)ccc1Cl)c1cnn2ccccc12,,8.638272163982407,8.638272163982407,0.8954594
VZQDVLAKDURFFW,Cc1ccc(-c2noc([C@H]3C[C@@H]3F)n2)cc1NC(=O)c1cnn2cc(F)ccc12,,6.259637310505756,6.259637310505756,0.9364328
NCCKZZSNASGKLB,Cc1ccc(-c2noc([C@H]3C[C@@H]3F)n2)cc1NC(=O)c1cnn2ccc(-c3c(C)nc(N4CC(F)(F)C4)nc3C)cc12,,6.259637310505756,6.259637310505756,0.94045967
AFEPCVPBYICKPZ,Cc1ccc(-c2noc([C@H]3C[C@@H]3F)n2)cc1NC(=O)c1cnn2ccc(-c3c(C)nc(N4CC5(COC5)C4)nc3C)cc12,,6.259637310505756,6.259637310505756,0.9728448
OKJBWWUMZATREJ,CNc1nc(C)c(-c2ccn3ncc(C(=O)Nc4cc(-c5noc([C@H]6C[C@@H]6F)n5)ccc4C)c3c2)c(C)n1,,6.259637310505756,6.259637310505756,0.9364419
ZPNDIHHOYXMGRS,Cc1ccc(-c2noc([C@H]3C[C@@H]3F)n2)cc1NC(=O)c1cnn2ccc(-c3c(C)nc(N4CCC4)nc3C)cc12,,6.259637310505756,6.259637310505756,0.92040783
ALTOOHNFWWLBNT,Cc1ncc(C(=O)Nc2cc(C(=O)NCCCN3CCOCC3)c(F)cc2C)s1,,6.259637310505756,6.259637310505756,0.95882267
ULUXIJCPJFQDTA,Cc1cc(F)c(C(=O)Nc2ccc(OC3CC3)cn2)cc1NC(=O)c1cnc(C2CC2)s1,,6.259637310505756,6.259637310505756,0.9628943
DSXUCYVOBJLFNW,Cc1ccc(-c2noc([C@H]3C[C@@H]3F)n2)cc1NC(=O)c1cnn2ccc(-c3cc(C(F)(F)F)nn3C)cc12,,6.259637310505756,6.259637310505756,0.94979197
NVLAWTCHJRZOCE,COC(=O)N1CC(c2nc(-c3cnc(C)c(NC(=O)c4cnn5cc(-c6cn(C(F)F)nn6)ccc45)c3)no2)C1,,6.259637310505756,6.259637310505756,0.8571724
MKOUFEDSFIKEFE,Cc1ncc(C(=O)Nc2cc(C(=O)NCc3ccccc3F)c(F)cc2C)s1,,6.259637310505756,6.259637310505756,0.965181
MQCSLRZHNREMLN,Cc1ncc(C(=O)Nc2cc(C(=O)Nc3cnc(C(F)F)cn3)c(F)cc2C)s1,,6.259637310505756,6.259637310505756,0.92153126
KCHNHIODODZHMN,Cc1ccc(-c2noc([C@H]3C[C@@H](OC(F)(F)F)C3)n2)cc1NC(=O)c1cnn2ccc(-c3c(C)nc(N)nc3C)cc12,,6.259637310505756,6.259637310505756,0.9110308
NTKLUFGVZMHMBT,Cc1ccc(-c2noc([C@H]3C[C@@H]3F)n2)cc1NC(=O)c1cnn2ccc(-c3c(C)nc(Cl)nc3C)cc12,,6.259637310505756,6.259637310505756,0.90484244
