ad_rank,pref_name,PS,p_ABL1,p_c-KIT,p_PDGFRB
1,PONATINIB HYDROCHLORIDE,0.9967,0.9997,0.9987,0.9916
2,PONATINIB,0.9965,0.9996,0.9987,0.9912
3,SONIDEGIB,0.9949,0.9997,0.9935,0.9914
4,SONIDEGIB PHOSPHATE,0.9904,0.9995,0.9924,0.9794
5,ASCIMINIB HYDROCHLORIDE,0.9861,1.0,0.9932,0.9655
6,ASCIMINIB,0.9847,1.0,0.9922,0.9622
7,RIBOCICLIB,0.9673,0.9433,0.9887,0.9703
8,OLMUTINIB,0.958,0.9778,0.9697,0.9274
9,RIBOCICLIB SUCCINATE,0.9512,0.8876,0.9811,0.9882
10,PAZOPANIB HYDROCHLORIDE,0.944,0.9859,0.9269,0.9204
