rank,pref_name,molecule_chembl_id,PS,P_ABL1,P_c-KIT,P_PDGFRB
1,PONATINIB HYDROCHLORIDE,CHEMBL2105708,0.9966600838885382,0.99968135,0.9987431,0.99157554
2,PONATINIB,CHEMBL1171837,0.9964892835611594,0.99964595,0.99866796,0.99117553
3,SONIDEGIB,CHEMBL2105737,0.9948622314037301,0.9997427,0.9935009,0.99136215
4,SONIDEGIB PHOSPHATE,CHEMBL3137317,0.990385646603474,0.9994636,0.9923543,0.97944325
5,ASCIMINIB HYDROCHLORIDE,CHEMBL4297220,0.9861114349424269,0.9999877,0.99316484,0.9655216
6,ASCIMINIB,CHEMBL4208229,0.9846627627308554,0.9999857,0.9922092,0.96220034
7,LUMEFANTRINE,CHEMBL38827,0.9716750255393519,0.9892168,0.94474775,0.98164797
8,CIANIDANOL,CHEMBL311498,0.9693827562438447,0.97127265,0.95750177,0.97950155
9,RIBOCICLIB,CHEMBL3545110,0.9672773956116001,0.943339,0.98873013,0.9703034
10,OLMUTINIB,CHEMBL3786343,0.9580491800697216,0.9778129,0.96966314,0.927442
